gameid,team_blue,team_red,league,patch,pick_blue_1,pick_blue_2,pick_blue_3,pick_blue_4,pick_blue_5,pick_red_1,pick_red_2,pick_red_3,pick_red_4,pick_red_5,ban_blue_1,ban_blue_2,ban_blue_3,ban_blue_4,ban_blue_5,ban_red_1,ban_red_2,ban_red_3,ban_red_4,ban_red_5,result
LOLTMNT99_145113,BoostGate Esports,FUT Esports,TSC,14.01,Jax,Ivern,Tristana,Ashe,Renata Glasc,Malphite,Elise,Lucian,Kalista,Rell,Neeko,Poppy,Varus,Nautilus,Blitzcrank,Rumble,LeBlanc,Nocturne,Braum,Ornn,1
LOLTMNT99_147118,Beşiktaş Esports,Papara SuperMassive,TSC,14.01,Jayce,Viego,LeBlanc,Varus,Heimerdinger,Renekton,Poppy,Azir,Caitlyn,Ashe,Nocturne,Orianna,Kalista,Neeko,Renata Glasc,Rumble,Lucian,Akali,Nautilus,K'Sante,1
LOLTMNT99_148114,Papara SuperMassive,Beşiktaş Esports,TSC,14.01,Jax,Poppy,Sylas,Varus,Heimerdinger,Gragas,Nocturne,Hwei,Kalista,Rakan,Lucian,Rell,Akali,Renata Glasc,Neeko,Rumble,Ashe,Orianna,Azir,Nautilus,1
LOLTMNT99_148130,Beşiktaş Esports,Papara SuperMassive,TSC,14.01,Aatrox,Xin Zhao,Ahri,Caitlyn,Neeko,Renekton,Nocturne,Orianna,Ezreal,Heimerdinger,Kalista,Ashe,Varus,Rakan,Karma,Rumble,Lucian,Akali,K'Sante,Renata Glasc,1
LOLTMNT99_147226,Galakticos,NASR eSports Turkey,TSC,14.01,Rumble,Maokai,Tristana,Xayah,Rakan,Gragas,Rell,Orianna,Varus,Nautilus,Nocturne,Elise,Ashe,K'Sante,Xin Zhao,Akali,Kalista,Neeko,Lucian,Jhin,0
LOLTMNT99_148194,NASR eSports Turkey,Galakticos,TSC,14.01,Ornn,Maokai,Hwei,Kalista,Renata Glasc,Irelia,Poppy,Syndra,Varus,Senna,Akali,Ashe,Neeko,Orianna,LeBlanc,Rumble,Nocturne,Elise,K'Sante,Tristana,1
LOLTMNT06_12245,FUT Esports,Misa Esports,TSC,14.01,K'Sante,Nocturne,Neeko,Xayah,Rakan,Rumble,Xin Zhao,Jayce,Kai'Sa,Alistar,LeBlanc,Varus,Kalista,Rell,Nautilus,Caitlyn,Lucian,Ashe,Ornn,Orianna,1
LOLTMNT06_12249,FUT Esports,Misa Esports,TSC,14.01,Renekton,Elise,Tristana,Kalista,Rell,Gwen,Vi,Orianna,Varus,Nautilus,Jayce,Nocturne,Xin Zhao,Rumble,Jax,Caitlyn,Lucian,Ashe,Renata Glasc,Ornn,0
LOLTMNT06_13417,FUT Esports,Misa Esports,TSC,14.01,Aatrox,Viego,Neeko,Kalista,Rell,Fiora,Vi,Orianna,Varus,Nautilus,Jayce,Xin Zhao,Nocturne,Rumble,Jax,Caitlyn,Lucian,Elise,Ornn,Renata Glasc,1
LOLTMNT06_12270,Galakticos,Papara SuperMassive,TSC,14.01,Renekton,Vi,Orianna,Ezreal,Nautilus,Malphite,Xin Zhao,Akali,Caitlyn,Neeko,Ashe,Poppy,Nocturne,Karma,Heimerdinger,Rumble,Kalista,Varus,Aatrox,Rakan,1
